Year,TN,TP,disNH4,disNO3,disPO4,TDN,TDP
2022,2.143,0.127,0.0207,0,0.0108,0,0
2022,2.040609,0.264,0,0,0,0,0
2022,0.77,0.08,0,0,0,0,0
2023,0.68,0.06,0,0.1227,0,0,0
2021,1.005,0.051,0,0.0462,0.0116,0,0
2022,3.654,0.221,0,0,0,0,0
2022,1.168732,0.072,0,0,0,0,0
2022,1.08,0.037,0,0,0,0,0
2022,1.984818,0.166,0,0,0,0,0
2022,1.731821,0.13,0,0,0,0,0
2022,1.54,0.13,0,0,0,0,0
2022,1.47,0.11,0,0,0,0,0
2023,0.72,0.06,0,0.1173,0,0,0
2023,0,0,0,0.0559,0.0105,0,0
2021,0.633,0.12,0,0.0626,0.0747,0,0
2022,6.764,0.26,0,0.0648,0,0,0
2022,4.967966,0.326,0.0639,0,0,0,0
2021,0.924,0.412,0,0.0928,0.2963,0,0
2022,5.053,0.199,0,0.0505,0,0,0
2022,6.665597,0.486,0,0,0,0,0
2021,0.896,0.209,0,0.0648,0.0849,0,0
2022,3.719,0.246,0,0.07,0.0242,0,0
2022,3.123219,0.248,0,0,0,0,0
2022,10.88,1.555,0,0,0.0115,0,0
2022,11.10326,1.235,0,0,0,0,0
2022,5.93,0.55,0.2526,0,0,0,0
2021,1.042,0.116,0,0.0558,0,0,0
2022,0.822,0.078,0,0.0545,0,0,0
2022,2.733,0.116,0.0221,0.0836,0,0,0
2022,1.496521,0.034,0,0,0,0,0
2022,1.15,0.03,0,0,0,0,0
2022,8.23239,0.851,0,0,0.0345,0,0
2022,2.651609,0.141,0,0,0,0,0
2022,3.38,0.09,0.8675,0.2118,0,0,0
2023,1.69,0.4,0,0.8054,0.1181,0,0
2023,0.54,0.06,0,0.1119,0,0,0
2023,0.89,0.03,0,0.1102,0,0,0
2023,0,0,0,0.0677,0,0,0
2021,0.728,0.141,0,0.0565,0.0586,0,0
2022,6.763,0.485,0,0.0921,0.0104,0,0
2022,6.311407,0.464,0.1732,0,0,0,0
2023,1.21,0.21,0.0225,0.121,0.0383,0,0
2023,1.05,0.2,0,0.1544,0.0471,0,0
2023,0.84,0.03,0.0601,0.1015,0,0,0
2023,1.87,0.18,0,0.0712,0,0,0
2023,0.87,0.03,0,0.1107,0,0,0
2023,2.72,0.08,0.3066,1.135,0.025,0,0
2021,0.938,0.165,0,0.0465,0.059,0,0
2022,5.286,0.404,0,0.059,0,0,0
2022,3.258247,0.214,0,0,0,0,0
2022,7.08,0.831,0,0,0,0,0
2023,1.14,0.1,0,0.0997,0.0188,0,0
2021,1.024,0.028,0,0.0565,0,0,0
2022,3.466,0.091,0,0.0507,0,0,0
2022,2.41134,0.117,0.0273,0,0,0,0
2022,2.63,0.123,0,0,0,0,0
2022,2.720043,0.1,0,0,0,0,0
2022,2.56,0.16,0.2054,0,0,0,0
2022,2.6,0.21,0.1416,0,0,0,0
2023,0.9,0.11,0,0.1248,0,0,0
2023,1.47,0.17,0,0.1032,0,0,0
2023,0,0,0,0.086,0,0,0
2021,0.875,0.129,0,0.0573,0.0657,0,0
2022,0.926,0.084,0,0.0463,0,0,0
2022,3.052,0.139,0,0.0682,0,0,0
2022,2.314641,0.177,0.1732,0,0,0,0
2022,1.3,0.054,0,0,0,0,0
2022,2.6414,0.152,0,0,0,0,0
2022,3.1,0.28,0,0,0,0,0
2023,1.26,0.12,0,0.116,0,0,0
2021,0.684,0.152,0,0.0579,0.1095,0,0
2022,1.202,0.194,0,0.0526,0,0,0
2023,0.71,0.29,0,0.2653,0.1586,0,0
2023,0.67,0.02,0,0.132,0,0,0
2023,5.31,0.36,1.9395,0.5743,0.1759,0,0
2021,1.955,0.074,0,0.171317,0,0,0
2021,1.169,0.053,0,0.0534,0.0116,0,0
2022,0.643,0.036,0,0.0403,0,0,0
2022,6.122,0.273,0,0.0692,0,0,0
2023,0.63,0.02,0,0.1019,0,0,0
2021,1.246,0.047,0,0.158084,0,0,0
2021,1.119,0.133,0,0.0566,0.0742,0,0
2022,0.688,0.036,0.004,0.0433,0,0,0
2022,4.97,0.252,0,0.0631,0,0,0
2022,4.4102,0.275,0.1434,0,0,0,0
2023,1.99,0.26,0,0.1305,0.1057,0,0
2021,1.291,0.074,0,0.0717,0.0225,0,0
2022,0.548,0.025,0.0147,0.0255,0,0,0
2022,2.687,0.075,0,0,0,0,0
